title,imdb_id,release_year_movie,movie_rating,duration_movie,average_star_rating_movie,vote_count_movie,review_text,book_authors,average_rating_book,num_pages_book,ratings_count_book,publication_date_book,publisher_book
The Da Vinci Code,tt0382625,2006,PG-13,2h 29m,6.6,472000,"I&#39;ve read the book, and the movie&#39;s not so bad. Obviously there are many things I&#39;d do different, but in the end it&#39;s 2,5 hours of good entertainment, and isn&#39;t that what the ratings are all about? Personally I think Tom Hanks wasn&#39;t passionate enough for Robert Langdon. That&#39;s why it&#39;s not a 9 for me.A lot of people are too harsh on this one. Mostly because they know the book and have very high expectations. I have to see my first book-to-film where the film is better.Also, you&#39;re not going to hell for watching this movie or reading the book. It&#39;s based on a novel, which is based on a few loose theories, but in the end all it wants to do is to entertain. And that is exactly what both the book and the movie did for me.",Dan Brown,3.84,489,1679706,3/28/06,Anchor
Angels & Demons,tt0808151,2009,PG-13,2h 18m,6.7,318000,"Tom Hanks returns as Dan Brown&#39;s symbologist Robert Langdon in his first adventure Angels &amp; Demons, which Hollywood decided to make after The Da Vinci Code, given the latter&#39;s more controversial subject striking a raw nerve on the faith itself. The Catholic Church was up in arms over the first film, but seemingly nonchalant about this one. And it&#39;s not hard to see why, considering Ron Howard had opted to do a flat-out action piece that serves as a great tourism video of Rome and Vatican City, and would probably boost visitor numbers given the many beautiful on-location scenes, save for St Peter&#39;s Square and Basilica which was a scaled model used.So I guess with the bulk of the budget going toward the sets, the ensemble cast had to be correspondingly scaled down. Ayelet Zurer tried to step into the female void left by Audrey Tautou, but given Tautou&#39;s character then having a lot more stake in the film, Zurer&#39;s scientist Vittoria had a lot less to do other than just waiting in the wings to change some batteries on a canister filled with anti-matter. In the book she&#39;s the fodder of course for Langdon to converse his vast knowledge of the Vatican, the Illuminati and the great feud between the two, but here she&#39;s neither love interest, nor his intellectual equal.Ewan McGregor on the other hand, chews up each scene he&#39;s in as Camerlengo Patrick McKenna, who is temporarily taking care of the Papal office while the other prominent cardinals are in the Sistine Chapel to elect a new Pope. And he plays Patrick with that glint in the eye, with nuances enough to let you know there&#39;s more than meets the eye. There&#39;s no surprises here for readers of the novel, but McGregor&#39;s performance here is one of the highlights of the film as Hanks plays well, Tom Hanks.The book itself is rich with arguably accurate content as always, and had a lot more plot points on science versus religion, and a wealth of information that Dan Brown researched and linked together in an engaging fictional piece of work. While reading the book some years ago, I thought that should a film be made of it, it&#39;s easy to lapse and dwell more on the set action pieces. Sadly, that&#39;s what this Ron Howard film did, with a pace that doesn&#39;t allow a temporary breather. Unlike the first film where you had the characters sit down for some &quot;discussion time&quot; over a cup of tea, this one moved things along so quickly, it&#39;s like reading the book all over again, page after page being skipped just to get to the thick of the action.Catholic reviewers have called Angels &amp; Demons harmless, because I guess it didn&#39;t dwell on its many controversies, unlike The Da Vinci Code which struck a raw nerve at the centre of the faith. And if anything, this film served as a great tourism promotional video with a nice showcase of the many prominent touristy landmarks that would entice many around the world to go pay a visit. Naturally certain areas like the catacombs beneath St Peter&#39;s Basilica, and the Vatican archives remain out of bounds, but the walk along the Path of Illumination, now that&#39;s almost free.Nothing new for those who have read the book other than to see it come alive, but for those who haven&#39;t, this film may just compel you to pick up Dan Brown&#39;s novel just to read a bit more about the significance about the landmarks, and characters such as Galileo, Michelangelo and Bernini who are intricately linked to the plot, but much left unsaid. Satisfying pop-corn entertainment leaving you with nothing spectacular.",Dan Brown,3.89,736,2418736,4/1/06,Pocket Books
Inferno,tt3062096,2016,PG-13,2h 1m,6.2,196000,"I enjoyed the Inferno film for the most part as I&#39;m very fond of Tom Hanks as Robert Langdon. One of the main reasons that I like these books so much is because they provide such a wealth of background historical information so they&#39;re a prefect blend of education and entertainment.While it was obviously impractical to include an involved literary discussion of Dante&#39;s Inferno in the film, it&#39;s a shame that it was barely touched on at all as to me, it was one of the most interesting aspects of the entire story. Like many, I was also surprised and disappointed by the changed ending. The book&#39;s solution was challenging but elegant; the filmclunky and predictable. Pity.",Dante Alighieri/Ronald L. Martinez/Robert M. Durling/Robert Turner,4.0,672,468,3/6/97,Oxford University Press  USA
Interview with the Vampire,tt0110148,1994,R,2h 3m,7.5,362000,"Based on the Anne Rice&#39;s novel and with a screenplay adapted by herself, this film tells the story of Lestat and Louis, two vampires with over three hundred years. Directed by Neil Jordan, has the participation of Brad Pitt, Tom Cruise and Kirsten Dunst (as a child). It received two nominations for the Oscar (Best Art Direction, Best Original Score).This is the film adaptation of one of the greatest horror novels of this American author, and is even more appealing when we realize that she actively collaborated with the production, signing the adaptation of the script. Indeed, it&#39;s a great script, faithful to the novel and original story. And for me, this movie has another good note: fully escaping the recent &quot;sex symbol vampire&quot; cliché, fueled by movies like &quot;Twilight&quot;, this film depicts vampires as they really should be: monsters with some psychological depth.The actors are excellent in their roles. The highlight goes obviously to Pitt and Cruise, who were not only perfectly able to give charisma to the characters but also not ignore the importance of the psychological characteristics. Pitt took it to the extreme in his character, torn between the love of his own humanity and the overwhelming desire for blood he feels. The way both actors share the scene is irresistible, such as how Cruise transforms his character in &quot;evil genius&quot; of his friend.The film contains several very intense scenes with moments that can hurt some sensibilities. Nevertheless, its not a very bloody movie. The atmosphere is dark, sinister, something largely enhanced by the cinematography, dark and misty, and the soundtrack, worthy of a good horror movie (something that this film is definitely not). The special, visual and sound effects are good, such as the characterization and makeup. The costumes are exceptional, portraying accurately the clothes of the several historical periods portrayed throughout the film.",Anne Rice,3.99,342,433413,8/31/04,Ballantine Books
Jurassic Park,tt0107290,1993,PG-13,2h 7m,8.2,1100000,"This movie is definitely one to remember. Despite being filmed in the 90s, Jurassic Park continues to be a classic to this day. 
Watching the movie now highlights the contrast between the effects then and the special effects available now. This, along with some acting that is a tad overdone, are the only real critiques I would give this film. 
The child actors were especially hilarious to me-the young boy, Timmy, has moments that really capture a reaction that a child in real life would have (&quot;I threw up.&quot; &quot;Well that&#39;s ok! That happens sometimes&quot;-Allen-is one of my favorite quotes). 
Another extremely influential aspect of this film is the music that plays over certain intense scenes and the iconic theme music in the opening/closing. The music combined with the diegetic sound of the dinosaur stomping/approaching builds the suspense and creates an intense tension in the audience. 
As a classic worldwide, it&#39;s no wonder that this movie provided the basis for generations of movies to follow.",Michael Crichton,4.02,480,451443,4/4/06,Plaza y Janes
The Green Mile,tt0120689,1999,R,3h 9m,8.6,1500000,"&quot;The Green Mile&quot; is one of my favorite Stephen King books and I have read it several times.  I was anxiously anticipating the film version, but was concerned that the emotional impact of the book could not be replicated on screen.  Fortunately this wonderful story was adapted by Frank Darabont, who did such a magnificent job bringing King&#39;s &quot;Shawshank Redemption&quot; to the screen.  He does the same high quality work with &quot;The Green Mile&quot;.  The story is faithful to the book, only losing details that were not important to the story anyway.  The casting is superb - every actor is perfectly suited for his role and does an excellent job, although I would like to single out Doug Hutchison.  His portrayal of the detestable Percy is right on the mark and suggests complexities in this character I had not discovered in the book.  The length is about three hours and it seems that critics are complaining about that.  I can&#39;t understand the complaints.  The film never drags and is never dull, and it certainly didn&#39;t feel three hours long.  The length is needed to tell this story the way it should be told, and the story is so very engrossing.  Best of all, Darabont and the actors bring so much emotion ot the screen, that I cried like a baby through several scenes. &quot;The Green Mile&quot; will haunt you.",Stephen King,4.44,592,207869,9/1/96,Penguin Signet
A Clockwork Orange,tt0066921,1971,R,2h 16m,8.2,911000,"Few films are as sensational or infamous as Stanley Kubrick&#39;s &quot;A Clockwork Orange&quot;. It&#39;s impossible to sit through ACO and not have a reaction; whether it be shock, disgust or amazement. The savage tale of a brutal young droog and his subsequent &quot;reformation&quot; by the government is as shocking and thought-provoking as ever. While the film&#39;s depictions of violence and sex are what it&#39;s most known for, ACO works on far deeper levels. The disturbing portrayal of youth and its satirical depiction of a government&#39;s attempts to create a better society are brilliant, but the most fascinating aspect of ACO is the questions it poses about good and evil. While the crimes Alex commits at the beginning of the film are atrocious, what the government does to him is worse. The film presents the absolute worst aspects of man, but shows that even these are still favorable to a man without the choice. People can denounce the film because of its brutal content, but the importance of the questions it poses can&#39;t be denied. Equally excellent to the film&#39;s content is the effort by the crew. Kubrick&#39;s perfectionism pays off well, as ACO in one of his most visually striking films. Malcolm MacDowell is nothing short of amazing as Alex. Kubrick&#39;s use of surreal imagery and set pieces, as well as the ingenious use of music to compliment the on-screen action, creates a world that perfectly reflects the protagonist&#39;s behavior and the government&#39;s policies. A Clockwork Orange is by no means an easy film to get through, as many will be turned off by the scenes of violence and rape. But this masterpiece is far more complex than a simple romp through a world of youthful violence. It&#39;s a rare example of film-making that demands that the viewer actually think. Real horrorshow all around, Oh my brothers.",Anthony Burgess/Blake Morrison,3.99,159,5366,2/24/00,Penguin Classics
The Silence of the Lambs,tt0102926,1991,R,1h 58m,8.6,1600000,"The Silence of the Lambs runs two hours.Anthony Hopkins appears for little more than sixteen minutes, yet during those minutes he hasn&#39;t bored you for a second, not even after the tenth or eleventh viewing. Such is the power of his performance, it&#39;s absolutely impossible to forget him.His character, Dr.Hannibal&quot;The Cannibal&quot; Lecter, is a brutal killer with revolting methods and habits, but he&#39;s also very intelligent, charismatic and with good taste(you can interpret that as you like).A clichè by now, but who cares? He still is one of the key elements in this wonderful thriller, which sees Jodie Foster&#39;s Clarice Starling asking for Lecter&#39;s help to catch another killer.The result is a dangerous yet fascinating relationship between the young, unexperienced FBI-agent and the convicted,but basically omnipotent, psychiatrist.He&#39;s a step ahead of everyone all the time, and makes sure everyone notices, with his witty, unforgettable one-liners.If there had to be only one reason to worship this movie, then it would have to be the chemistry between the two leading actors.Never before has a non-sexual man/woman connection been more thrilling.Never before has a film&#39;s ending been more unsettling and brilliant and left us asking for more.Best watched with a nice Chianti...P.S. dear film-buffs, have the lambs stopped screaming?",Yvonne Tasker,4.27,96,510,3/29/02,British Film Institute
The Shawshank Redemption,tt0111161,1994,R,2h 22m,9.3,3000000,"It is no wonder that the film has such a high rating, it is quite literally breathtaking. What can I say that hasn&#39;t said before? Not much, it&#39;s the story, the acting, the premise, but most of all, this movie is about how it makes you feel. Sometimes you watch a film, and can&#39;t remember it days later, this film loves with you, once you&#39;ve seen it, you don&#39;t forget.The ultimate story of friendship, of hope, and of life, and overcoming adversity.I understand why so many class this as the best film of all time, it isn&#39;t mine, but I get it. If you haven&#39;t seen it, or haven&#39;t seen it for some time, you need to watch it, it&#39;s amazing. 10/10.",Mark Kermode/Rob White,4.43,96,725,8/26/03,British Film Institute
The Shining,tt0081505,1980,R,2h 26m,8.4,1200000,"Even though The Shining is over a quarter of a century old, I challenge anyone to not get freaked out by Jack Nicholson&#39;s descent into madness. This is a rare example of something so unique that no one has been able to rip it off; instead it has been referenced time and again in pop culture. The twins, the elevator of blood, RedRum, the crazy nonsense &quot;writing&quot;... this should be seen, if for nothing else, to understand all the allusions to it in daily life. The film is simultaneously scary, suspenseful, beautiful, and psychologically intriguing. It has the classic mystery of Hitchcock and the terror of a modern thriller. And it has what horror movies usually lack: a great script.",Stephen King/Campbell Scott,4.22,16,357,8/2/05,Simon & Schuster Audio
Planet of the Apes,tt0133152,2001,PG-13,,5.7,238000,"If one wants to remake a movie, the best option is probably to choose and original that was good, but not a great classic. Clearly, any attempt to remake a concept that failed first time around is fraught with danger, but an attempt to remake a classic runs the risk that one&#39;s film will be unfavourably compared with the original. The original 1968 film of &#39;Planet of the Apes&#39; is one of cinema&#39;s great science fiction classics. More than an adventure story, it touches on some of the concerns of the late sixties- the fear of nuclear war, race relations- and also raises more fundamental issues about the relationship between man and nature, the relationship between religion and science, Darwinism and animal rights. It was therefore a brave move on Tim Burton&#39;s part to try and remake it. The main concept of Tim Burton&#39;s film is basically similar to Franklin Schaffner&#39;s. An astronaut from Earth travels to a planet ruled by intelligent apes. Humans exist on this planet, but they are regarded as an inferior species, despised and exploited by the apes. There is, however, an important difference. In the original film, the apes are the only intelligent and articulate beings on the planet. Although they have only attained a pre-industrial level of civilization (they have firearms, but no power-driven machinery, and no means of transport other than the horse or horse-drawn vehicles), they are a far more advanced species than the planet&#39;s human inhabitants, who lack the powers of speech and reason and live an animal-like existence. In Burton&#39;s remake, humans and apes have similar powers of speech and intellect; it is only the apes&#39; greater physical strength that enables them to dominate the planet and to treat the humans as slaves. It was this ironic role-reversal, with apes behaving like men and men behaving like beasts, that gave Schaffner&#39;s film its satirical power. That film was advertised with the slogan &#39;Somewhere in the Universe, there must be something better than man!&#39;, and the apes are indeed, in some respects, better than man. Their law against killing others of their kind, for example, is much more strictly observed than our commandment that &#39;Thou shalt do no murder&#39;. There is no sense that the apes are bad and the humans good. Even Dr Zaius, the orang-utan politician, is not a wicked individual; by the standards of his society he is an honourable and decent one. His weakness is that of excessive intellectual conservatism and unwillingness to accept opinions that do not fit in with his preconceived world view. (In this respect the apes are very human indeed). Burton&#39;s film takes a less subtle moral line. It is a straightforward story of a fight for freedom. The villains are most of the apes, especially the fanatical, human-hating General Thade. The heroes are Captain Davidson, the astronaut from Earth, the planet&#39;s human population who long for freedom from the domination of the apes, and a few liberal, pro-human apes, especially Ari, the daughter of an ape senator. The apes are more aggressive and more obviously animals than in the original film; they still frequently move on all fours and emit fierce shrieks whenever angry or excited. There are some things about this film that are good, especially the ape make-up which is, for the most part, more convincing than in the original film and allows the actors more scope to show emotion. (I say &#39;for the most part&#39; because Ari looks far less simian than do most of the other apes- Tim Burton obviously felt that the audience would be more likely to accept her as a sympathetic character if she looked half-human). The actors playing apes actually seem more convincing than those playing humans. Tim Roth is good as the militaristic Thade, as is Helena Bonham-Carter as Ari. Mark Wahlberg, on the other hand, is not an actor of the same caliber as Charlton Heston, who played the equivalent role in the original film, and Estella Warren has little to do other than look glamorous. (Heston has a cameo role as an ape in Burton&#39;s film, and even gets to repeat his famous line &#39;Damn you all to hell&#39;). Overall, however, the film is a disappointment when compared to the original, a simple science-fiction adventure story as opposed to an intelligent and philosophical look at complex issues. It tried to copy the device of a surprise ending but failed. Schaffner&#39;s famous final twist is shocking, but makes perfect sense in the context of what has gone before. Burton&#39;s makes no sense whatsoever.Tim Burton can be a director of great originality, but with &#39;Planet of the Apes&#39; he fell into the standard Hollywood trap of trying to copy what had already been done and remaking a film that never needed to be remade. It was good to see him return to form with the brilliant &#39;Big Fish&#39;, one of the best films of last year. 6/10",Pierre Boulle/Xan Fielding,3.95,192,88,6/6/00,Wings
